card_id,card_name,stage_type,hp,type,move_name,damage_num,cost_num,damage_per_cost,score,is_ex,rule
107,Palafin ex,Stage 1 Pokémon,340.0,{W},Giga Impact,250,1,250.0,125.97666666666667,True,Pokémon ex
699,Tinkaton,Stage 2 Pokémon,160.0,{M},Windup Swing,240,1,240.0,120.82666666666667,False,
797,Ceruledge,Stage 1 Pokémon,140.0,{R},Infernal Slash,220,1,220.0,110.75333333333333,False,
40,Greninja ex,Stage 2 Pokémon,310.0,{F},Shinobi Blade,170,1,170.0,85.71666666666667,True,Pokémon ex
129,Decidueye,Stage 2 Pokémon,150.0,{G},Power Shot,170,1,170.0,85.61,False,
884,Medicham,Stage 1 Pokémon,120.0,{F},Seventh Kick,150,1,150.0,75.53,False,
232,Slaking ex,Stage 2 Pokémon,340.0,{C},Great Swing,280,2,140.0,71.06666666666668,True,Pokémon ex
1074,Diggersby,Stage 1 Pokémon,150.0,{C},Earthquake,140,1,140.0,70.52,False,
678,Mega Lucario ex,Stage 1 Pokémon,340.0,{F},Mega Brave,270,2,135.0,68.53666666666668,True,Mega Pokémon ex
381,Cynthia's Garchomp ex,Stage 2 Pokémon,330.0,{F},Draconic Buster,260,2,130.0,66.0,True,Pokémon ex
189,Flygon ex,Stage 2 Pokémon,310.0,{F},Reversing Storm,130,1,130.0,65.59666666666666,True,Pokémon ex
51,Palafin,Stage 1 Pokémon,150.0,{W},Vanguard Punch,130,1,130.0,65.49,False,
224,Annihilape,Stage 2 Pokémon,140.0,{F},Tantrum,130,1,130.0,65.48333333333333,False,
934,Centiskorch,Stage 1 Pokémon,130.0,{R},Billowing Heat Wave,130,1,130.0,65.47666666666667,False,
398,Lurantis,Stage 1 Pokémon,120.0,{G},Petal Blade Dance,130,1,130.0,65.47,False,
954,Luxray ex,Stage 2 Pokémon,310.0,{L},Volt Strike,250,2,125.0,63.45666666666666,True,Pokémon ex
311,Hop’s Cramorant,Basic Pokémon,110.0,{C},Fickle Spitting,120,1,120.0,60.43333333333333,False,
772,Mega Gengar ex,Stage 2 Pokémon,350.0,{D},Void Gale,230,2,115.0,58.42333333333333,True,Mega Pokémon ex
995,Haxorus,Stage 2 Pokémon,170.0,竜,Dragon Pulse,230,2,115.0,58.303333333333335,False,
904,Mega Dragonite ex,Stage 2 Pokémon,370.0,竜,Ryuno Glide,330,3,110.0,56.23666666666667,True,Mega Pokémon ex
728,Inteleon,Stage 2 Pokémon,150.0,{W},Water Shot,110,1,110.0,55.43,False,
932,Mega Emboar ex,Stage 2 Pokémon,380.0,{R},Crimson Blast,320,3,106.66666666666667,54.54666666666667,True,Mega Pokémon ex
754,Mega Latias ex,Basic Pokémon,280.0,竜,Illusory Impulse,300,3,100.0,51.086666666666666,True,Mega Pokémon ex
210,Pikachu ex,Basic Pokémon,200.0,{L},Topaz Bolt,300,3,100.0,51.03333333333333,True,Pokémon ex
229,Hydreigon ex,Stage 2 Pokémon,330.0,{D},Crashing Headbutt,200,2,100.0,50.82,True,Pokémon ex
326,Blaziken ex,Stage 2 Pokémon,320.0,{R},Smolder-sault,200,2,100.0,50.81333333333333,True,Pokémon ex
121,Dragapult ex,Stage 2 Pokémon,320.0,竜,Phantom Dive,200,2,100.0,50.81333333333333,True,Pokémon ex
147,Cradily,Stage 2 Pokémon,150.0,{G},Miasma Wind,100,1,100.0,50.4,False,
153,Cinderace ex,Stage 2 Pokémon,320.0,{R},Flare Strike,280,3,93.33333333333333,47.72,True,Pokémon ex
241,Vaporeon ex,Stage 1 Pokémon,280.0,{W},Aquamarine,280,3,93.33333333333333,47.693333333333335,True,Pokémon ex
